iteration;agentId;positionBefore;positionAfter;personalBest;personalBestFitness;globalBest;globalBestFitness;popAvgFitness;popStdDev;distToOptimum
1;3;[10.8494161048,26.4354047376];[-7.6380969620,-20.2650797376];[-7.6380969620,-20.2650797376];21.0927585353;[-2.7972668985,-1.7898916495];8.9034191639;19.1071132274;2.3763507358;3.3209056322
1;8;[-21.1433240717,6.1833157601];[-7.8060006713,0.3068872715];[-7.8060006713,0.3068872715];15.0952682926;[-2.7972668985,-1.7898916495];8.9034191639;18.9383208354;2.4734921883;3.3209056322
1;13;[-30.7089743003,-9.3113601571];[1.7326056348,-0.6709647489];[1.7326056348,-0.6709647489];6.5935330425;[-2.7972668985,-1.7898916495];8.9034191639;18.4322722860;3.2670549967;3.3209056322
1;23;[-2.6013615613,-14.3804339537];[-0.1480307374,-5.9784134551];[-0.1480307374,-5.9784134551];11.9205883376;[-2.7972668985,-1.7898916495];8.9034191639;18.1722244870;3.4588980785;3.3209056322
1;18;[8.9551370883,-8.5772537730];[6.7573778700,-11.0001528363];[6.7573778700,-11.0001528363];17.8089321190;[-2.7972668985,-1.7898916495];8.9034191639;18.1586322992;3.4594977409;3.3209056322
1;4;[-8.5994429867,-14.6965745211];[-8.1048193815,-9.4689912787];[-8.1048193815,-9.4689912787];18.3772835955;[-2.7972668985,-1.7898916495];8.9034191639;18.0927712787;3.4358194844;3.3209056322
1;9;[-19.0206726068,21.3624993800];[-19.0206726068,21.3624993800];[-19.0206726068,21.3624993800];21.1815548123;[-2.7972668985,-1.7898916495];8.9034191639;18.0927712787;3.4358194844;3.3209056322
1;14;[20.8271396592,-5.3944289360];[-14.1571286490,-4.5193371893];[-14.1571286490,-4.5193371893];19.4713606486;[-2.7972668985,-1.7898916495];8.9034191639;18.0447238859;3.4059969421;3.3209056322
1;24;[-19.9252897023,-21.0191357788];[-8.3019078636,-5.3329229856];[-8.3019078636,-5.3329229856];17.0995088295;[-2.7972668985,-1.7898916495];8.9034191639;17.9540549777;3.3937253904;3.3209056322
1;19;[-9.1583364880,-4.2820511242];[-9.1583364880,-4.2820511242];[-9.1583364880,-4.2820511242];16.7429353458;[-2.7972668985,-1.7898916495];8.9034191639;17.9540549777;3.3937253904;3.3209056322
1;5;[-2.3819992558,18.5402509748];[-1.5595205211,-3.0896279251];[-1.5595205211,-3.0896279251];9.5007278142;[-2.7972668985,-1.7898916495];8.9034191639;17.5750825928;3.6704638688;3.3209056322
1;10;[-21.4815252357,5.7296408927];[-2.9358968678,8.3658869923];[-2.9358968678,8.3658869923];15.8745314089;[-2.7972668985,-1.7898916495];8.9034191639;17.3947254987;3.6162589549;3.3209056322
1;15;[31.0664024225,13.9857925127];[-11.6187441559,1.6922031189];[-11.6187441559,1.6922031189];18.3373385148;[-2.7972668985,-1.7898916495];8.9034191639;17.3407145739;3.5895784499;3.3209056322
1;20;[-2.7972668985,-1.7898916495];[-1.7033183781,0.6774872307];[-1.7033183781,0.6774872307];6.5910360883;[-2.7972668985,-1.7898916495];8.9034191639;17.2636351380;3.7892022025;3.3209056322
1;31;[7.6161800625,-8.2339852394];[7.6161800625,-8.2339852394];[7.6161800625,-8.2339852394];17.8998915145;[-2.7972668985,-1.7898916495];8.9034191639;17.2636351380;3.7892022025;3.3209056322
1;32;[-1.2730684830,-13.6539997856];[-1.2730684830,-13.6539997856];[-1.2730684830,-13.6539997856];19.1417363416;[-2.7972668985,-1.7898916495];8.9034191639;17.2841595373;3.7292798031;3.3209056322
1;33;[7.6161800625,14.5827977853];[7.6161800625,2.2030885098];[7.6161800625,2.2030885098];15.4041728931;[-2.7972668985,-1.7898916495];8.9034191639;17.3422088124;3.6847494994;3.3209056322
1;34;[3.8451417138,-8.2339852394];[3.8451417138,-8.2339852394];[3.8451417138,-8.2339852394];15.7929868348;[-2.7972668985,-1.7898916495];8.9034191639;17.2834804512;3.6436673562;3.3209056322
1;35;[14.9136133346,12.0077334453];[14.9136133346,12.0077334453];[14.9136133346,12.0077334453];18.8562781748;[-2.7972668985,-1.7898916495];8.9034191639;17.2396424037;3.5985067180;3.3209056322
1;36;[12.0345916966,24.8381999381];[12.0345916966,24.8381999381];[12.0345916966,24.8381999381];20.1948793748;[-2.7972668985,-1.7898916495];8.9034191639;17.2858319971;3.5569383297;3.3209056322
1;37;[14.9136133346,12.0077334453];[14.9136133346,12.0077334453];[14.9136133346,12.0077334453];18.8562781748;[-2.7972668985,-1.7898916495];8.9034191639;17.3666388687;3.5396203715;3.3209056322
1;38;[2.2194869237,9.3818178334];[2.2194869237,9.3818178334];[2.2194869237,9.3818178334];16.8415320282;[-2.7972668985,-1.7898916495];8.9034191639;17.4068993905;3.4998065471;3.3209056322
